bid_id,ad_id,user_id,date_bid,bid_price,bid_status
135,202,998,2024-03-01,22617,Accepted
136,203,1323,2024-06-28,23763,Sent
137,203,1330,2024-06-20,25556,Sent
138,204,229,2024-04-27,18938,Sent
139,204,552,2024-07-30,19749,Sent
140,204,914,2024-03-21,21405,Sent
141,204,955,2024-04-02,18687,Accepted
142,205,1490,2023-12-13,18423,Accepted
143,210,1074,2024-08-22,14509,Accepted
144,211,88,2024-08-02,14711,Accepted
145,214,365,2023-11-29,14558,Sent
146,214,39,2024-06-09,17506,Accepted
147,215,424,2024-03-25,13298,Sent
148,215,699,2024-04-27,15258,Sent
149,215,858,2024-08-02,14201,Accepted
150,216,299,2024-04-20,12310,Accepted
151,218,1006,2024-05-13,13307,Accepted
152,220,1481,2024-07-28,17383,Sent
153,220,346,2024-08-26,14906,Sent
154,220,545,2024-08-08,15291,Accepted
155,224,892,2024-07-19,18061,Sent
156,224,362,2024-06-09,15372,Accepted
157,227,1229,2024-01-24,16594,Accepted
158,230,750,2024-06-24,23050,Sent
159,230,153,2024-07-03,19428,Accepted
160,233,947,2024-04-19,21111,Sent
161,233,116,2024-04-12,21123,Sent
162,233,803,2024-03-03,23753,Sent
163,233,299,2024-08-21,20307,Accepted
164,234,610,2024-04-27,24152,Sent
165,234,1361,2024-07-15,21664,Sent
166,236,716,2024-06-26,17241,Accepted
167,239,837,2024-08-26,26349,Sent
168,239,112,2024-08-26,22577,Accepted
169,242,1361,2024-08-21,16532,Sent
170,242,333,2024-08-09,15778,Accepted
171,244,1204,2024-07-13,9767,Sent
172,244,1229,2024-08-16,10974,Sent
173,244,159,2024-08-02,10186,Sent
174,244,1291,2024-07-14,11184,Sent
175,244,440,2024-06-30,10902,Sent
176,244,1015,2024-06-25,10082,Accepted
177,245,400,2024-02-26,12634,Accepted
178,248,348,2024-02-24,11536,Sent
179,253,570,2024-05-29,17769,Sent
180,253,1466,2024-05-28,14843,Accepted
181,254,1264,2024-08-24,16771,Accepted
182,255,1064,2024-03-13,16592,Accepted
183,256,1474,2024-07-30,20410,Accepted
184,257,876,2024-08-27,20372,Accepted
185,258,1204,2024-05-25,14789,Accepted
186,260,1286,2024-08-25,14206,Accepted
187,261,335,2024-06-26,13875,Accepted
188,262,639,2024-05-30,17763,Accepted
189,264,54,2024-07-02,17957,Sent
190,264,1486,2024-06-18,16640,Sent
191,264,34,2024-06-30,18731,Sent
192,265,58,2023-11-17,21754,Sent
193,265,1478,2024-06-12,18991,Accepted
194,266,1215,2024-01-16,18293,Sent
195,266,484,2024-04-03,17487,Accepted
196,268,615,2024-05-13,19198,Accepted
197,273,610,2024-08-12,21755,Sent
198,274,266,2024-03-21,23338,Accepted
199,276,5,2024-07-21,17505,Sent
200,276,493,2024-07-22,18344,Sent
201,276,1028,2024-08-15,19651,Accepted
202,278,1287,2024-07-18,27299,Accepted
203,279,1252,2024-07-25,24074,Sent
204,280,860,2024-06-02,10759,Sent
205,280,909,2024-03-15,10523,Sent
206,280,356,2024-05-30,10452,Accepted
207,283,1088,2024-04-23,12171,Accepted
208,284,1028,2024-05-18,10473,Sent
209,284,572,2024-07-26,10895,Accepted
210,289,129,2024-08-14,14523,Sent
211,295,166,2024-05-27,16208,Accepted
212,300,132,2024-04-20,23141,Sent
213,300,203,2024-03-18,21127,Accepted
214,302,13,2024-04-27,21975,Accepted
215,305,400,2024-06-23,26177,Sent
216,305,959,2024-05-08,23526,Accepted
217,306,601,2024-07-11,19989,Sent
218,306,300,2024-04-25,18903,Accepted
219,307,999,2024-03-25,19440,Sent
220,311,929,2024-06-25,10775,Accepted
221,313,746,2024-05-11,16057,Accepted
222,315,1251,2024-03-04,11404,Accepted
223,316,1077,2024-08-24,13843,Accepted
224,320,775,2024-07-14,13976,Sent
225,320,798,2024-07-20,14529,Sent
226,320,826,2024-08-11,13287,Sent
227,320,1438,2024-08-15,14345,Accepted
228,321,1126,2024-07-09,14418,Accepted
229,325,1208,2023-10-25,18547,Accepted
230,327,722,2024-07-05,18056,Sent
231,327,997,2024-06-16,18625,Accepted
232,328,531,2024-05-14,24622,Sent
233,328,29,2024-07-17,20711,Sent
234,328,987,2023-12-15,20815,Accepted
235,332,727,2024-08-22,14271,Accepted
236,334,1193,2024-03-01,19534,Sent
237,334,533,2024-07-15,18640,Accepted
238,335,88,2024-05-28,17051,Accepted
239,337,435,2024-03-25,19600,Accepted
240,339,683,2024-08-15,17954,Sent
241,339,1264,2024-05-23,18032,Sent
242,339,832,2024-01-08,19724,Sent
243,339,269,2024-07-15,16102,Accepted
244,342,55,2024-08-04,18968,Accepted
245,344,55,2024-06-12,23529,Accepted
246,345,39,2023-12-02,24914,Accepted
247,346,832,2024-05-19,17998,Accepted
248,347,697,2024-06-30,19492,Sent
249,347,260,2024-03-19,18727,Sent
250,347,286,2024-07-23,17046,Accepted
251,348,999,2024-02-28,24359,Sent
252,348,366,2024-06-16,21419,Accepted
253,349,1042,2024-07-27,25317,Accepted
254,350,818,2024-05-20,26303,Accepted
255,351,1288,2024-06-19,10147,Accepted
256,355,1009,2024-04-12,9917,Accepted
257,358,157,2024-07-16,13483,Sent
258,358,1232,2024-05-28,13604,Sent
259,358,1222,2024-01-19,11468,Sent
260,358,952,2023-12-17,11529,Sent
261,358,323,2024-03-12,12077,Accepted
262,359,677,2024-08-17,11607,Sent
263,359,352,2024-08-17,10470,Accepted
264,360,1176,2024-07-22,14442,Accepted
265,363,1100,2024-07-21,20209,Accepted
266,365,1290,2024-07-22,11571,Accepted
267,366,1327,2024-08-26,16265,Sent
268,366,902,2024-05-05,15636,Sent
269,366,1291,2024-05-07,15451,Accepted
270,367,1067,2024-07-08,20361,Accepted
271,368,142,2024-08-18,17443,Sent
272,368,1139,2024-08-04,16899,Accepted
273,370,467,2024-05-31,16473,Sent
274,371,337,2024-04-06,20978,Sent
275,371,1239,2024-02-25,22048,Accepted
276,374,504,2024-08-23,23659,Sent
277,374,980,2024-08-02,24470,Sent
278,374,944,2024-06-01,27322,Sent
279,374,1012,2024-06-24,27474,Accepted
280,375,970,2024-06-06,22313,Accepted
281,379,399,2024-07-03,22676,Sent
282,379,409,2024-03-11,21933,Sent
283,379,42,2024-07-21,23291,Sent
284,379,1476,2024-07-11,22237,Accepted
285,381,1344,2024-07-28,21700,Sent
286,385,868,2024-02-20,11256,Sent
287,385,381,2024-01-24,11804,Accepted
288,387,43,2024-08-21,14274,Accepted
289,388,1038,2024-06-14,14412,Accepted
290,391,249,2024-08-26,13861,Accepted
291,393,870,2024-07-02,12668,Accepted
292,396,795,2024-07-24,17430,Sent
293,398,1273,2024-08-10,17632,Sent
294,398,569,2024-08-09,18211,Sent
295,398,961,2024-08-17,20275,Sent
296,398,553,2024-08-15,17973,Sent
297,398,1364,2024-08-20,20727,Sent
298,400,1322,2024-08-15,16104,Accepted
299,401,1331,2024-01-29,18287,Sent
300,401,1431,2024-07-25,17254,Sent
301,402,1447,2024-05-24,14884,Accepted
302,404,212,2024-07-08,14686,Sent
303,404,198,2023-11-24,16964,Sent
304,404,1320,2024-02-22,15299,Sent
305,404,342,2023-12-05,15041,Accepted
306,405,982,2024-07-06,18523,Accepted
307,410,172,2024-07-23,16479,Accepted
308,411,1228,2024-08-15,18757,Sent
309,411,1309,2024-07-28,18385,Accepted
310,413,906,2024-08-19,21302,Accepted
311,414,480,2024-05-17,25300,Accepted
312,416,132,2024-06-15,26626,Accepted
313,420,175,2024-03-11,25154,Accepted
314,422,336,2024-05-16,11343,Accepted
315,428,215,2024-04-24,14500,Sent
316,428,111,2024-08-06,13251,Accepted
317,429,1382,2024-07-19,13070,Accepted
318,430,1057,2024-07-24,10099,Accepted
319,431,1059,2024-05-27,14760,Sent
320,431,907,2024-07-17,12442,Accepted
321,437,569,2024-08-19,17038,Sent
322,437,1000,2024-08-07,15715,Sent
323,437,254,2024-08-21,15416,Sent
324,437,906,2024-08-03,16324,Accepted
325,438,1236,2024-01-19,18952,Sent
326,438,346,2024-07-10,21866,Sent
327,438,1355,2024-01-22,20956,Sent
328,438,274,2024-06-15,18829,Accepted
329,439,1207,2024-08-04,18886,Accepted
330,440,1284,2024-08-01,16800,Sent
331,440,1488,2024-06-03,14635,Accepted
332,442,458,2024-08-08,23412,Accepted
333,444,1368,2024-05-07,19262,Sent
334,444,744,2024-08-01,19757,Sent
335,444,220,2024-07-08,19241,Sent
336,444,674,2024-05-06,22134,Sent
337,444,1212,2024-07-16,22344,Accepted
338,445,940,2024-02-08,25670,Accepted
339,446,1439,2024-07-19,20713,Accepted
340,448,560,2024-08-26,17629,Accepted
341,459,1252,2024-04-11,15848,Accepted
342,461,1388,2024-08-08,11639,Accepted
343,462,357,2024-05-14,13965,Accepted
344,464,422,2024-06-24,12924,Sent
345,464,758,2024-08-11,13488,Sent
346,464,693,2024-06-05,13281,Accepted
347,467,210,2024-08-21,17832,Accepted
348,469,1363,2024-07-28,20198,Sent
349,469,1093,2024-04-04,18800,Accepted
350,470,1435,2024-03-07,23485,Accepted
351,472,1164,2023-12-24,18492,Sent
352,472,205,2024-05-16,16607,Sent
353,472,721,2023-11-17,16809,Sent
354,472,1302,2024-04-12,18761,Sent
355,472,185,2024-08-07,17185,Sent
356,472,802,2024-04-16,18629,Sent
357,483,813,2024-07-02,19851,Sent
358,483,1492,2024-07-29,21476,Sent
359,483,733,2024-07-17,21296,Sent
360,483,796,2024-07-29,20030,Sent
361,483,1393,2024-08-03,19869,Accepted
362,486,823,2024-05-25,23794,Accepted
363,487,817,2024-07-08,26717,Sent
364,491,1303,2023-12-08,25427,Accepted
365,494,463,2024-02-07,12736,Sent
366,494,497,2024-04-17,12000,Sent
367,494,66,2024-07-21,14821,Accepted
368,495,615,2024-07-29,14985,Sent
369,495,1236,2024-07-28,15620,Accepted
370,498,1472,2024-08-25,16865,Sent
371,498,1162,2024-08-25,14484,Sent
372,498,501,2024-08-26,14543,Sent
373,498,1368,2024-08-26,14841,Accepted
374,503,814,2024-04-12,16628,Accepted
375,504,34,2024-08-15,14760,Sent
376,504,674,2024-07-06,17079,Accepted
377,506,144,2024-01-01,15569,Sent
378,506,1311,2024-06-21,12929,Accepted
379,509,1220,2024-05-29,22641,Sent
380,509,216,2024-03-16,19633,Accepted
381,517,494,2024-03-26,20378,Accepted
382,519,1420,2024-04-09,19693,Sent
383,519,494,2024-05-14,20067,Accepted
384,521,588,2024-02-04,23975,Accepted
385,524,225,2024-03-04,11524,Sent
386,524,164,2024-02-21,9945,Accepted
387,525,1104,2024-03-05,12064,Sent
388,525,326,2024-04-07,12451,Accepted
389,526,692,2024-05-14,14706,Sent
390,526,115,2023-12-18,14006,Sent
391,526,402,2024-03-28,16051,Accepted
392,530,798,2024-07-19,14876,Sent
393,530,753,2024-07-17,15988,Sent
394,530,449,2024-04-03,15206,Sent
395,530,207,2024-03-18,15525,Accepted
396,533,1287,2024-08-12,13989,Sent
397,533,119,2024-08-08,13102,Sent
398,534,1290,2024-08-26,13946,Accepted
399,535,865,2024-06-13,13413,Sent
400,537,1281,2024-02-17,16059,Accepted
401,538,264,2024-07-24,17024,Accepted
402,539,76,2024-08-03,14688,Sent
403,540,562,2024-03-13,18079,Sent
404,540,241,2024-04-22,19329,Accepted
405,541,1468,2024-06-23,24115,Accepted
406,542,1179,2024-07-12,16044,Sent
407,542,107,2024-06-05,15572,Sent
408,542,1298,2024-07-23,15196,Accepted
409,545,682,2024-01-08,13084,Accepted
410,548,760,2024-07-13,17651,Accepted
411,553,1393,2024-01-09,21630,Sent
412,555,553,2024-08-25,22024,Sent
413,555,966,2024-02-24,22083,Sent
414,555,1182,2024-07-21,19467,Accepted
415,556,943,2024-08-13,23524,Accepted
416,557,297,2024-02-07,24480,Sent
417,557,149,2024-05-06,22208,Accepted
418,558,67,2024-08-23,26950,Sent
419,558,1467,2024-07-22,27390,Accepted
420,559,927,2024-07-24,21124,Accepted
421,560,891,2024-07-25,19123,Accepted
422,561,866,2024-08-17,21342,Accepted
423,562,1428,2024-08-20,25505,Accepted
424,567,1122,2024-06-01,12655,Accepted
425,570,1404,2024-08-11,13430,Accepted
426,575,375,2024-08-20,14884,Sent
427,576,348,2024-04-22,19849,Accepted
428,578,556,2024-07-20,13800,Sent
429,578,916,2023-12-12,12970,Accepted
430,580,1349,2024-08-24,21594,Accepted
431,581,279,2024-02-17,19158,Sent
432,581,856,2023-09-08,19903,Accepted
433,584,215,2024-08-23,24736,Accepted
434,585,346,2023-12-07,21338,Sent
435,585,175,2024-06-18,21387,Sent
436,585,364,2024-02-22,20005,Sent
437,585,891,2024-01-28,20043,Sent
438,585,537,2024-07-30,21458,Accepted
439,589,1384,2024-08-26,24193,Sent
440,589,853,2023-12-21,22953,Accepted
441,590,1296,2024-08-16,19290,Accepted
442,591,1264,2024-08-07,20362,Sent
443,591,614,2024-02-24,19581,Accepted
444,592,916,2024-08-22,22982,Accepted
445,594,778,2024-07-17,24640,Accepted
446,595,404,2024-07-28,11464,Accepted
447,597,173,2024-08-10,14945,Sent
448,597,710,2024-08-17,13958,Sent
449,597,741,2024-07-23,16277,Accepted
450,607,824,2024-05-31,13389,Accepted
451,608,250,2024-07-01,17210,Accepted
452,609,887,2024-05-15,15479,Sent
453,614,29,2024-06-22,15736,Accepted
454,615,1319,2023-11-25,15361,Sent
455,616,15,2024-06-01,14724,Sent
456,616,1182,2024-06-23,13296,Sent
457,616,236,2024-04-07,15217,Accepted
458,619,304,2024-03-17,16447,Accepted
459,620,348,2024-08-09,21423,Accepted
460,622,403,2024-07-22,19336,Sent
461,622,736,2024-08-17,23740,Accepted
462,625,1342,2024-06-04,22745,Accepted
463,627,440,2024-03-07,22332,Sent
464,627,997,2024-05-31,26402,Sent
465,627,270,2024-07-24,21678,Accepted
466,628,50,2024-08-02,21308,Accepted
467,631,1241,2023-12-31,18728,Accepted
468,632,745,2024-07-22,23710,Accepted
469,635,613,2024-08-23,10502,Accepted
470,637,1469,2024-06-07,16205,Sent
471,637,889,2024-08-06,16156,Sent
472,637,450,2024-07-26,13866,Accepted
473,638,432,2024-07-26,13453,Sent
474,640,997,2024-06-11,17424,Accepted
475,643,747,2024-06-14,9690,Accepted
476,644,520,2024-08-11,14639,Accepted
477,646,1278,2024-08-19,15696,Sent
478,647,1134,2024-05-07,20089,Accepted
479,648,1104,2024-03-03,14604,Sent
480,649,1028,2024-01-30,11554,Accepted
481,650,950,2024-07-22,16305,Sent
482,653,284,2024-07-20,16276,Sent
483,653,9,2024-08-02,17262,Accepted
484,657,539,2024-07-24,19475,Accepted
485,659,252,2024-08-04,24299,Sent
486,659,165,2024-06-26,24373,Sent
487,659,1271,2024-07-31,23967,Accepted
488,660,756,2024-06-29,22140,Sent
489,660,943,2024-06-13,25705,Sent
490,660,414,2024-05-28,26053,Accepted
491,663,385,2024-07-04,20879,Sent
492,663,974,2024-06-01,25665,Accepted
493,667,654,2024-05-02,14155,Accepted
494,672,495,2024-07-19,14000,Accepted
495,676,1384,2024-04-29,15383,Sent
496,676,1244,2024-06-10,14625,Sent
497,676,849,2024-04-24,15176,Accepted
498,677,611,2024-07-30,12529,Accepted
499,680,964,2024-04-21,16259,Accepted
500,681,440,2024-06-22,17206,Accepted
501,683,550,2024-07-16,22892,Accepted
502,687,1162,2024-08-01,13361,Sent
503,687,898,2024-08-12,13825,Sent
504,687,1429,2024-08-06,14636,Sent
505,687,1386,2024-08-23,15214,Accepted
506,688,952,2024-05-15,16529,Accepted
507,689,1067,2024-02-13,18743,Accepted
508,693,882,2024-02-29,21426,Accepted
509,695,874,2024-08-18,21174,Sent
510,698,1455,2024-06-22,24278,Sent
511,698,667,2024-07-15,25651,Accepted
512,702,1029,2024-03-04,19402,Accepted
513,706,1357,2023-10-27,11859,Accepted
514,707,1189,2024-08-04,14535,Sent
515,707,830,2024-08-15,13036,Accepted
516,708,1171,2023-11-13,16681,Sent
517,709,430,2024-06-09,13309,Sent
518,709,765,2024-04-03,11211,Accepted
519,710,569,2024-04-10,11051,Sent
520,710,319,2024-02-02,11258,Sent
521,710,1077,2023-12-20,9622,Sent
522,710,850,2024-05-26,11729,Sent
523,710,1335,2024-01-08,11576,Sent
524,710,1195,2024-08-21,9714,Accepted
525,711,508,2024-04-10,17234,Sent
526,711,818,2024-03-31,17398,Sent
527,711,1343,2024-05-23,16768,Sent
528,711,738,2024-03-18,14594,Accepted
529,715,1427,2024-07-14,14670,Accepted
530,718,1316,2024-05-06,17938,Accepted
531,719,1276,2024-04-26,15792,Sent
532,719,498,2024-07-02,15369,Accepted
533,722,1112,2024-04-24,22680,Sent
534,722,5,2024-08-05,20495,Sent
535,722,1182,2024-05-29,21643,Accepted
536,723,234,2024-04-29,17812,Accepted
537,727,835,2024-04-08,23260,Sent
538,727,536,2024-02-06,19221,Sent
539,727,665,2024-06-07,21216,Sent
540,727,886,2024-02-14,22367,Accepted
541,728,1407,2024-08-26,22515,Sent
542,728,642,2024-08-24,22316,Accepted
543,731,1025,2024-08-11,25073,Sent
544,731,1498,2024-08-09,24670,Sent
545,731,376,2024-08-22,25173,Accepted
546,734,364,2024-08-05,25014,Accepted
547,737,516,2023-12-21,10932,Sent
548,737,708,2024-01-12,11745,Sent
549,737,1116,2024-04-23,10753,Accepted
550,741,1179,2024-08-15,10808,Sent
551,741,1040,2024-07-29,11058,Sent
552,741,1283,2024-06-03,11453,Accepted
553,742,311,2024-05-13,14620,Sent
554,742,191,2024-04-28,14046,Sent
555,742,481,2024-05-22,13391,Sent
556,742,1179,2024-04-26,13191,Sent
557,742,1157,2024-05-27,14429,Sent
558,742,843,2024-01-30,12305,Accepted
559,743,1228,2024-08-10,16504,Accepted
560,744,1080,2023-10-29,13267,Accepted
561,745,228,2024-07-01,10014,Sent
562,745,630,2024-08-12,10553,Accepted
563,746,459,2024-08-10,13071,Accepted
564,748,33,2024-04-05,13619,Sent
565,748,745,2024-07-13,12984,Sent
566,748,386,2024-08-05,13530,Accepted
567,750,44,2024-07-29,17418,Accepted
568,751,1214,2024-07-14,17909,Accepted
569,754,889,2023-10-30,20478,Sent
570,754,10,2024-02-20,20063,Accepted
571,758,314,2024-04-20,12810,Accepted
572,759,1471,2024-04-19,17598,Accepted
573,760,1095,2024-07-04,16895,Sent
574,760,63,2024-05-05,17152,Sent
575,760,585,2024-07-29,16728,Sent
576,760,783,2024-06-21,19778,Sent
577,760,343,2024-07-25,18308,Sent
578,760,1167,2024-07-30,19616,Sent
579,760,395,2024-05-13,18312,Sent
580,760,807,2024-06-26,16844,Accepted
581,762,1094,2024-08-05,21661,Accepted
582,767,1101,2024-08-09,19521,Sent
583,767,535,2024-08-22,22297,Sent
584,767,807,2024-08-14,22182,Accepted
585,768,212,2024-07-17,18985,Sent
586,768,1099,2024-08-18,21478,Accepted
587,769,749,2024-08-16,23769,Accepted
588,770,642,2024-04-01,20172,Sent
589,770,621,2024-02-05,22363,Sent
590,770,870,2024-03-02,24614,Accepted
591,771,547,2024-05-30,25174,Sent
592,771,843,2024-06-04,27473,Accepted
593,772,876,2024-08-18,18988,Accepted
594,773,1460,2024-03-18,17435,Sent
595,773,1047,2024-05-10,20177,Sent
596,773,1013,2024-06-17,17086,Accepted
597,774,139,2024-07-23,22664,Sent
598,774,975,2024-06-25,25123,Accepted
599,776,168,2024-07-11,22315,Sent
600,776,215,2024-04-25,25883,Accepted
601,777,1423,2024-08-24,9824,Sent
602,777,940,2024-08-23,10799,Accepted
603,781,255,2024-02-19,9841,Sent
604,781,357,2024-03-30,10084,Accepted
605,782,702,2024-03-31,15114,Accepted
606,786,1313,2024-08-08,12454,Accepted
607,787,364,2023-10-11,16142,Sent
608,787,212,2024-07-13,16323,Accepted
609,796,595,2024-08-18,16789,Accepted
610,801,406,2024-05-26,22032,Sent
611,801,635,2024-06-25,22788,Sent
612,801,906,2024-03-24,23782,Sent
613,805,834,2024-08-20,25637,Accepted
614,811,1064,2024-07-06,12678,Sent
615,811,1083,2024-07-11,12604,Sent
616,811,832,2023-11-14,13056,Sent
617,811,1417,2023-11-28,12570,Sent
618,811,687,2024-02-28,13719,Accepted
619,812,923,2024-06-21,10489,Accepted
620,816,962,2024-05-28,9657,Sent
621,817,612,2024-06-30,14563,Sent
622,817,1010,2024-03-07,13381,Sent
623,817,86,2024-04-12,14225,Accepted
624,818,1303,2024-02-27,16549,Sent
625,818,1157,2024-07-30,15802,Sent
626,818,277,2024-05-20,14293,Sent
627,818,1208,2024-03-21,15225,Accepted
628,821,926,2024-07-14,16393,Sent
629,823,307,2024-03-29,14556,Accepted
630,824,829,2024-05-28,20066,Sent
631,824,876,2024-05-31,19872,Accepted
632,827,486,2024-05-23,16806,Sent
633,827,728,2024-07-22,16762,Accepted
634,829,159,2024-08-01,12919,Accepted
635,830,882,2024-05-07,16302,Accepted
636,832,166,2024-03-25,16185,Sent
637,833,1018,2024-08-14,19326,Accepted
638,834,871,2024-07-09,16981,Sent
639,834,826,2024-07-06,17359,Accepted
640,835,708,2024-08-15,21512,Sent
641,835,557,2024-07-07,23274,Sent
642,837,62,2024-07-07,17947,Accepted
643,839,1415,2024-08-07,20261,Sent
644,839,1117,2024-08-15,18782,Accepted
645,842,369,2024-08-26,24360,Sent
646,842,1266,2024-08-12,25222,Sent
647,842,261,2024-08-10,24227,Sent
648,842,514,2024-07-13,26123,Sent
649,842,1005,2024-08-17,23166,Accepted
650,844,1186,2024-08-02,18003,Accepted
651,845,396,2024-08-03,21091,Sent
652,845,147,2024-07-26,25174,Accepted
653,846,1150,2023-11-16,28606,Accepted
654,847,269,2024-05-19,25394,Accepted
655,851,723,2024-05-26,12887,Sent
656,851,1240,2024-05-06,12427,Accepted
657,852,186,2024-07-26,10321,Accepted
658,856,1281,2024-02-07,11069,Accepted
659,857,1022,2024-08-18,14240,Sent
660,857,1494,2024-08-05,13245,Accepted
661,859,771,2024-02-07,14989,Accepted
662,862,1139,2024-06-02,12689,Sent
663,865,50,2024-08-12,17375,Accepted
664,868,1434,2024-07-19,20888,Accepted
665,870,663,2024-07-24,20703,Sent
666,870,1130,2024-06-29,20852,Accepted
667,871,1156,2024-04-09,26390,Sent
668,871,1347,2024-01-02,24835,Sent
